6.71,500,4.56,26.46,1.25,61.02,1.2,28.23,11,2.15,25.902,141.29,76,317,0.59122,0.12807,0.47641,9.122,0,0.3,0.21,2.38,0.26676,0.11463,71,28.22,12.317,60.317,0.10049,15,37.341,36.268,0.27537,2.5707,0.073171,7.5854,0.12195,0.073171,13.902,5.67,11.55,2.45,31,24,72.074,0
91.69,23,2.46,0.33,1.5,4.02,2.3265,1.2383,215,2.32,55,50,611,20,0.9,0.162,0.885,0.9,43.3,0.027,0.158,0.658,0.064,0.192,85,0,85,85,0,2917,146,0,0.32831,1140,31.422,743.61,2.5783,139.89,1082.1,0.091,0.076,0.147,0,28,14,6
85.73,52,0.36,0.12,0.35,13.45,0.8,12.65,14,0.39,16,7,105,1,0.12,0.103,1.097,0.4,7.5,0.091,0.025,0.292,0.1,0.074,5,0,5,5,0,38,2,0,0.01,0.3,0,23,0,0,0,0.009,0.013,0.04,0,252,48,0
51.56,295,30.05,18.5,0.91,0,0,0,18,2.46,20,184,243,50,7.09,0.093,0.01,28.8,0,0.065,0.163,4.331,0.593,0.296,9,0,9,9,1.99,0,0,0,0.52,1.8,0,0,0,0,0,7.337,7.969,0.684,76,257,85,26
53.2,222,6.1,9.2,2.5,29,2.2415,15.721,206,1.72,16,151,138,412,0.54,0.055,0.237,14,2.2,0.195,0.272,1.524,0.395,0.049,36,24,12,53,0.2,199,50,48,0.27537,2.5707,0.073171,7.5854,0.12195,0.073171,13.902,1.986,2.316,4.162,56,28.35,38,0
47.89,359,21.12,29.82,0.93,0,0,0,22,1.6,20,166,271,73,3.49,0.115,0.019,21.8,0,0.09,0.21,6.75,0.63,0.11,15,0,15,15,2.23,0,0,0,0.1,1.4088,0,0,0,0,0,12.77,12.52,2.17,97,255,85,28
89.4,32,2.6,0.7,1.8,5.5,1.1,4.4,81,1.3,38,76,606,14,0.23,0.17,0.553,0.9,69,0.08,0.26,1,0.242,0.247,80,0,80,80,0,6917,346,0,0.7,541.9,0,4150,0,0,12500,0.023,0.239,0.228,0,50,1,29
4.1,345,10.94,8.2,19.3,57.46,1.6841,3.7045,133,9.1,56,231,1050,7070,5.2,0.7,2.1,2.2023,22,0.17,0.22,4.55,0.7,0.6,53,0,53,53,23,5369,268,0,0.21432,0.93636,14.045,90.727,0.45455,1051.9,14.818,1.39,3.79,2.62,0,18.9,245.35,0
65.92,191,20.37,11.59,0.97,0,0,0,4,1.98,22,197,338,53,3.21,0.075,0.013,19.5,0,0.1,0.17,3.71,0.36,0.47,8,0,8,8,2.8,0,0,0,0.1782,0.5764,0,0.78652,0,0,0,4.59,5.02,0.44,63,28.35,453.6,6
52.08,273,21.77,16.17,1.26,8.72,0.3,0.20186,18,1.4,20,152,189,279,2.17,0.08,0.054,26.6,0,0.116,0.221,5.433,0.994,0.27,18,9,9,24,0.28,91,27,27,0.094419,0.52093,0.25581,1.8372,0.25581,1.4186,0,4.28,6.58,3.85,90,95,158,22
44,236,10.4,4.4,1.5,39.8,4.5,7.7,65,3.12,35,141,147,407,0.89,0.135,0.779,30,0,0.504,0.346,4.831,0.581,0.073,81,56,25,120,0,5,2,2,0.44,1.2,0,0,0,0,46,0.697,1.59,1.694,0,28.35,30,0
5.78,480,7.15,24.32,1.61,61.07,2.3,51.69,96,0.72,39.914,200.6,183.77,224,0.65971,0.32951,0.17126,3.1114,0.5,0.028114,0.084029,0.39677,0.14397,0.0638,15.686,0.6,7.3143,8.2,0.22571,174,23.943,23.571,0.71429,1.1943,0,3.4571,0.37143,0,2.7714,9.891,2.2347,0.84611,13,39,32.01,0
65.67,141,7.68,3.28,2.57,20.81,1.7,3.7045,16,1.7,36,159,297,750,0.99,0.275,0.5,7.4,1.1,0.11,0.056,1.098,0.2,0.05,2,0,2,2,0.2,331,17,0,0.21432,0.93636,14.045,90.727,0.45455,1051.9,14.818,1.31,1.34,0.47,6,269,326,0
85.35,59,1.42,0.19,0.16,12.87,0.3,0.1,3,0.6,5,11,21,223,0.07,0.018,0.018,3.1,0,0.083,0.055,0.722,0.078,0.021,33,32,1,56,0,0,0,0,0.02,0,0,0,0,0,1,0.025,0.048,0.083,0,242,182,0
52.73,257,2.21,17.4,2.26,25.41,3.2,0.12,18,0.75,21,107,391,546,0.34,0.086,0.166,10.969,3,0.116,0.025,2.25,0.438,0.25,38,9.7692,38,27.231,0.41115,0,0,21.308,1.82,2.1115,0,0,0.11538,10.577,3.9615,3.101,7.436,4.157,0,53,76.179,0
69.5,168,20.18,9.09,0.88,0,0,0.20186,15,1.6,22,175,263,61,2.14,0.109,0.022,24.2,0,0.06,0.158,3.849,0.804,0.41,8,0,8,8,0.4,4,1,1,0.094419,0.52093,0.25581,1.8372,0.25581,1.4186,0,2.56,3.3,2.25,63,327,2052,22
